Sr. No.,Component Name,EndPoint,Current Deployed(image)-Version,Deployed Date,Deployed By , Branch Name
17,c2c_license_management_c_api,http://a57229f5406ab4cd18283566f7bf477d-1717784233.us-west-2.elb.amazonaws.com:8080/lmsc/swagger-ui,2.0.0,9th Feb 2022,Geo,release_Q12022_4.0
18,c2c_license_management_q_api,http://a5c9a43cce38e4db3bc67975a6097df5-425985633.us-west-2.elb.amazonaws.com:8080/lmsq/swagger-ui,2.0.0,9th Feb 2022,Gep,release_Q12022_4.0
19,c2c_dm_telemetry_persistence_service,http://a23a45f716bdf43abb3c37a85be2873c-403572407.us-west-2.elb.amazonaws.com:8080/telemetry-persistence-service/v1/swagger-ui.html,0.3.0-SNAPSHOT,9th Feb 2022,Geo,release_sprint14_1.0
20,c2c_dm_navigation_service,http://af5a6fb713d764aeea0c62b1d3c4232e-1700617801.us-west-2.elb.amazonaws.com:8080/navigation-service/v1,0.3.0-SNAPSHOT,9th Feb 2022,Geo,release_sprint14_1.0
21,c2c_dm_telemetry_service,http://ae124398b8f6c4715b3aebe0f1030843-599473500.us-west-2.elb.amazonaws.com:8080/telemetry-service/v1/,0.3.0-SNAPSHOT,9th Feb 2022,Geo,release_sprint14_1.0
22,c2c_non_auto_ui,http://aaedd8586d1c84925b50f84c30e7269a-228947896.us-west-2.elb.amazonaws.com:8080/,,,,
23,c2c_ota_db_operations_api,http://a35a6188c51a54cc08907325403d252a-14966756.us-west-2.elb.amazonaws.com:8080/ota-db-api/swagger-ui.html,2.0.0,9th Feb 2022,Abdul,release_Q12022_2.0.0
24,c2c_partition_service_api,http://ad22267579e5f46569905c52af5cf1ad-536937488.us-west-2.elb.amazonaws.com:8080/partition-service/swagger-ui.html,2.0.0,9th Feb 2022,Abdul,release_Q12022_2.0.0
,,,,,,
1,IoT Core Endpoint, avyq8mqx1md7m-ats.iot.us-west-2.amazonaws.com,,,,
2,API Gateway,,,,,
,,,,,,
1, Postgres DB,c2c-usw2-qa-reg-dm-rds-psql-db.c8rxnxgb1nnl.us-west-2.rds.amazonaws.com:5432,,,,
2, MySql DB,c2c-usw2-qa-reg-dm-rds-mysql-db-v2.c8rxnxgb1nnl.us-west-2.rds.amazonaws.com:3306,,,,
